As Ah	85.20%	73.50%	63.91%	55.91%	49.24%	43.59%	38.75%	34.66%	31.14%
Ks Kh	82.40%	68.93%	58.30%	49.88%	43.01%	37.46%	32.95%	29.24%	26.15%
Qs Qh	79.93%	64.98%	53.58%	44.79%	37.92%	32.58%	28.35%	24.98%	22.28%
Js Jh	77.46%	61.22%	49.25%	40.32%	33.63%	28.59%	24.70%	21.71%	19.40%
Ts Th	75.01%	57.63%	45.27%	36.41%	30.00%	25.27%	21.82%	19.17%	17.20%
9s 9h	72.06%	53.70%	41.21%	32.65%	26.70%	22.50%	19.47%	17.26%	15.61%
8s 8h	69.16%	50.01%	37.67%	29.56%	24.09%	20.38%	17.77%	15.91%	14.55%
7s 7h	66.23%	46.56%	34.48%	26.85%	21.96%	18.69%	16.44%	14.87%	13.70%
6s 6h	63.29%	43.29%	31.60%	24.59%	20.19%	17.36%	15.44%	14.09%	13.10%
5s 5h	60.32%	40.17%	29.01%	22.54%	18.63%	16.16%	14.50%	13.33%	12.43%
4s 4h	57.02%	36.88%	26.41%	20.69%	17.37%	15.34%	13.93%	12.98%	12.21%
3s 3h	53.69%	33.77%	24.12%	19.14%	16.35%	14.67%	13.56%	12.75%	12.08%
2s 2h	50.33%	30.82%	22.10%	17.86%	15.62%	14.24%	13.30%	12.59%	11.99%
As Ks	67.03%	50.82%	41.53%	35.50%	31.16%	27.80%	25.06%	22.73%	20.79%
As Kh	65.31%	48.29%	38.64%	32.41%	27.94%	24.48%	21.68%	19.33%	17.30%
As Qs	66.21%	49.50%	39.97%	33.81%	29.42%	26.09%	23.39%	21.19%	19.37%
As Qh	64.44%	46.89%	36.94%	30.56%	26.04%	22.59%	19.82%	17.56%	15.66%
As Js	65.37%	48.27%	38.56%	32.36%	27.98%	24.72%	22.12%	20.03%	18.30%
As Jh	63.56%	45.57%	35.40%	28.99%	24.46%	21.04%	18.39%	16.21%	14.43%
As Ts	64.59%	47.15%	37.35%	31.12%	26.84%	23.65%	21.16%	19.15%	17.48%
As Th	62.74%	44.38%	34.08%	27.62%	23.16%	19.85%	17.26%	15.20%	13.50%
As 9s	62.77%	44.64%	34.63%	28.45%	24.27%	21.18%	18.85%	17.02%	15.52%
As 9h	60.76%	41.65%	31.19%	24.70%	20.36%	17.19%	14.77%	12.86%	11.34%
As 8s	61.93%	43.62%	33.58%	27.48%	23.35%	20.39%	18.12%	16.35%	14.92%
As 8h	59.87%	40.53%	30.03%	23.64%	19.36%	16.30%	13.95%	12.13%	10.65%
As 7s	60.98%	42.47%	32.50%	26.52%	22.51%	19.68%	17.49%	15.81%	14.43%
As 7h	58.83%	39.32%	28.86%	22.60%	18.44%	15.47%	13.24%	11.51%	10.13%
As 6s	59.90%	41.25%	31.41%	25.58%	21.74%	19.01%	16.96%	15.35%	14.06%
As 6h	57.67%	37.99%	27.67%	21.56%	17.57%	14.75%	12.65%	11.02%	9.74%
As 5s	59.94%	41.52%	31.87%	26.13%	22.31%	19.61%	17.56%	15.96%	14.61%
As 5h	57.71%	38.26%	28.13%	22.14%	18.20%	15.37%	13.27%	11.62%	10.31%
As 4s	59.01%	40.63%	31.10%	25.50%	21.81%	19.19%	17.21%	15.64%	14.35%
As 4h	56.72%	37.29%	27.29%	21.43%	17.61%	14.91%	12.87%	11.30%	10.04%
As 3s	58.22%	39.73%	30.33%	24.89%	21.30%	18.77%	16.84%	15.34%	14.09%
As 3h	55.86%	36.33%	26.47%	20.75%	17.06%	14.46%	12.51%	10.97%	9.74%
As 2s	57.37%	38.86%	29.58%	24.20%	20.75%	18.27%	16.40%	14.91%	13.73%
As 2h	54.93%	35.37%	25.57%	19.99%	16.42%	13.90%	12.02%	10.52%	9.33%
Ks Qs	63.40%	47.19%	38.30%	32.58%	28.45%	25.24%	22.66%	20.51%	18.74%
Ks Qh	61.47%	44.48%	35.28%	29.39%	25.15%	21.84%	19.21%	17.02%	15.21%
Ks Js	62.58%	45.98%	36.94%	31.18%	27.08%	23.95%	21.45%	19.44%	17.76%
Ks Jh	60.58%	43.18%	33.82%	27.85%	23.62%	20.40%	17.85%	15.77%	14.05%
Ks Ts	61.81%	44.88%	35.73%	30.02%	25.95%	22.93%	20.54%	18.61%	17.01%
Ks Th	59.73%	42.02%	32.54%	26.57%	22.41%	19.25%	16.80%	14.83%	13.22%
Ks 9s	60.01%	42.38%	33.07%	27.35%	23.37%	20.47%	18.22%	16.43%	14.99%
Ks 9h	57.81%	39.34%	29.61%	23.63%	19.57%	16.57%	14.26%	12.44%	10.95%
Ks 8s	58.31%	40.25%	30.92%	25.29%	21.49%	18.77%	16.67%	15.04%	13.72%
Ks 8h	56.01%	37.03%	27.27%	21.43%	17.53%	14.71%	12.57%	10.91%	9.58%
Ks 7s	57.52%	39.39%	30.07%	24.51%	20.81%	18.15%	16.13%	14.56%	13.28%
Ks 7h	55.20%	36.07%	26.33%	20.59%	16.75%	14.00%	11.95%	10.35%	9.10%
Ks 6s	56.66%	38.39%	29.17%	23.71%	20.15%	17.61%	15.65%	14.15%	12.92%
Ks 6h	54.21%	35.02%	25.37%	19.72%	16.03%	13.39%	11.43%	9.90%	8.71%
Ks 5s	55.80%	37.51%	28.41%	23.11%	19.63%	17.14%	15.28%	13.84%	12.66%
Ks 5h	53.29%	34.05%	24.54%	19.02%	15.44%	12.92%	11.02%	9.57%	8.42%
Ks 4s	54.88%	36.64%	27.68%	22.53%	19.15%	16.78%	14.97%	13.58%	12.45%
Ks 4h	52.33%	33.10%	23.73%	18.37%	14.90%	12.47%	10.68%	9.28%	8.18%
Ks 3s	54.05%	35.83%	26.99%	21.99%	18.74%	16.44%	14.68%	13.33%	12.26%
Ks 3h	51.43%	32.20%	22.98%	17.77%	14.43%	12.09%	10.36%	9.03%	7.96%
Ks 2s	53.20%	35.01%	26.35%	21.45%	18.34%	16.10%	14.45%	13.13%	12.08%
Ks 2h	50.50%	31.34%	22.24%	17.20%	13.98%	11.75%	10.11%	8.79%	7.79%
Qs Js	60.26%	44.30%	35.80%	30.31%	26.35%	23.30%	20.90%	18.96%	17.36%
Qs Jh	58.11%	41.46%	32.69%	27.05%	22.98%	19.86%	17.43%	15.45%	13.83%
Qs Ts	59.46%	43.23%	34.65%	29.19%	25.26%	22.36%	20.04%	18.19%	16.69%
Qs Th	57.30%	40.31%	31.43%	25.81%	21.81%	18.78%	16.42%	14.58%	13.07%
Qs 9s	57.66%	40.74%	31.99%	26.54%	22.75%	19.94%	17.75%	16.04%	14.68%
Qs 9h	55.37%	37.67%	28.55%	22.92%	19.04%	16.14%	13.93%	12.21%	10.81%
Qs 8s	56.02%	38.66%	29.84%	24.52%	20.85%	18.21%	16.19%	14.60%	13.34%
Qs 8h	53.61%	35.41%	26.23%	20.74%	16.99%	14.29%	12.22%	10.64%	9.39%
Qs 7s	54.30%	36.57%	27.86%	22.66%	19.21%	16.71%	14.84%	13.41%	12.22%
Qs 7h	51.76%	33.15%	24.07%	18.74%	15.18%	12.64%	10.75%	9.32%	8.18%
Qs 6s	53.62%	35.86%	27.15%	22.05%	18.65%	16.24%	14.45%	13.03%	11.92%
Qs 6h	51.02%	32.37%	23.29%	18.05%	14.57%	12.11%	10.28%	8.89%	7.82%
Qs 5s	52.77%	34.98%	26.40%	21.44%	18.16%	15.84%	14.10%	12.75%	11.69%
Qs 5h	50.12%	31.44%	22.50%	17.34%	14.00%	11.67%	9.92%	8.59%	7.55%
Qs 4s	51.87%	34.15%	25.72%	20.86%	17.72%	15.47%	13.82%	12.49%	11.47%
Qs 4h	49.14%	30.49%	21.73%	16.73%	13.49%	11.25%	9.58%	8.30%	7.32%
Qs 3s	51.02%	33.34%	25.06%	20.33%	17.29%	15.15%	13.54%	12.29%	11.28%
Qs 3h	48.23%	29.64%	21.01%	16.14%	13.03%	10.87%	9.29%	8.07%	7.11%
Qs 2s	50.17%	32.55%	24.42%	19.82%	16.91%	14.84%	13.29%	12.08%	11.11%
Qs 2h	47.31%	28.76%	20.29%	15.59%	12.61%	10.53%	9.02%	7.86%	6.94%
Js Ts	57.52%	42.05%	33.98%	28.75%	24.98%	22.13%	19.88%	18.13%	16.70%
Js Th	55.23%	39.16%	30.80%	25.45%	21.61%	18.69%	16.43%	14.64%	13.23%
Js 9s	55.62%	39.60%	31.35%	26.15%	22.50%	19.77%	17.67%	16.03%	14.72%
Js 9h	53.23%	36.50%	27.99%	22.64%	18.87%	16.09%	13.97%	12.35%	11.05%
Js 8s	54.02%	37.51%	29.23%	24.15%	20.64%	18.07%	16.12%	14.60%	13.39%
Js 8h	51.51%	34.26%	25.68%	20.46%	16.87%	14.24%	12.29%	10.79%	9.59%
Js 7s	52.31%	35.50%	27.27%	22.29%	18.95%	16.54%	14.70%	13.30%	12.20%
Js 7h	49.67%	32.07%	23.53%	18.43%	15.03%	12.57%	10.75%	9.38%	8.29%
Js 6s	50.60%	33.49%	25.40%	20.62%	17.44%	15.18%	13.53%	12.22%	11.20%
Js 6h	47.82%	29.92%	21.53%	16.60%	13.38%	11.12%	9.45%	8.19%	7.21%
Js 5s	49.98%	32.87%	24.83%	20.13%	17.04%	14.86%	13.21%	11.96%	10.95%
Js 5h	47.16%	29.27%	20.88%	16.06%	12.92%	10.73%	9.11%	7.89%	6.94%
Js 4s	49.07%	32.04%	24.13%	19.60%	16.59%	14.49%	12.92%	11.70%	10.74%
Js 4h	46.19%	28.36%	20.16%	15.46%	12.43%	10.34%	8.80%	7.63%	6.72%
Js 3s	48.24%	31.27%	23.50%	19.08%	16.21%	14.18%	12.67%	11.49%	10.57%
Js 3h	45.29%	27.48%	19.44%	14.89%	11.98%	9.95%	8.50%	7.40%	6.53%
Js 2s	47.36%	30.47%	22.86%	18.59%	15.82%	13.89%	12.45%	11.32%	10.42%
Js 2h	44.35%	26.63%	18.72%	14.34%	11.56%	9.65%	8.24%	7.18%	6.35%
Ts 9s	54.04%	38.90%	31.10%	26.09%	22.54%	19.89%	17.83%	16.26%	15.02%
Ts 9h	51.54%	35.81%	27.80%	22.66%	19.04%	16.33%	14.28%	12.74%	11.48%
Ts 8s	52.33%	36.83%	29.02%	24.13%	20.73%	18.21%	16.33%	14.87%	13.70%
Ts 8h	49.72%	33.58%	25.54%	20.51%	17.04%	14.52%	12.64%	11.21%	10.07%
Ts 7s	50.62%	34.79%	27.04%	22.30%	19.04%	16.68%	14.93%	13.55%	12.50%
Ts 7h	47.91%	31.40%	23.39%	18.50%	15.21%	12.84%	11.10%	9.78%	8.74%
Ts 6s	48.95%	32.85%	25.17%	20.56%	17.49%	15.26%	13.66%	12.38%	11.37%
Ts 6h	46.09%	29.29%	21.35%	16.65%	13.53%	11.31%	9.70%	8.48%	7.54%
Ts 5s	47.22%	30.94%	23.40%	19.01%	16.12%	14.07%	12.57%	11.38%	10.45%
Ts 5h	44.28%	27.25%	19.46%	15.00%	12.03%	10.02%	8.53%	7.42%	6.56%
Ts 4s	46.53%	30.35%	22.91%	18.60%	15.75%	13.75%	12.26%	11.12%	10.21%
Ts 4h	43.50%	26.58%	18.90%	14.48%	11.64%	9.66%	8.23%	7.15%	6.30%
Ts 3s	45.68%	29.58%	22.28%	18.10%	15.36%	13.45%	12.03%	10.93%	10.06%
Ts 3h	42.58%	25.76%	18.21%	13.94%	11.19%	9.31%	7.93%	6.90%	6.11%
Ts 2s	44.84%	28.82%	21.66%	17.61%	14.99%	13.16%	11.79%	10.74%	9.89%
Ts 2h	41.65%	24.93%	17.52%	13.40%	10.77%	9.00%	7.67%	6.70%	5.94%
9s 8s	50.78%	36.13%	28.61%	23.79%	20.40%	17.95%	16.09%	14.66%	13.53%
9s 8h	48.10%	32.87%	25.16%	20.21%	16.78%	14.30%	12.46%	11.06%	9.99%
9s 7s	49.11%	34.24%	26.81%	22.17%	18.97%	16.68%	14.97%	13.67%	12.63%
9s 7h	46.30%	30.83%	23.20%	18.46%	15.22%	12.93%	11.25%	9.98%	9.00%
9s 6s	47.44%	32.33%	24.96%	20.50%	17.48%	15.36%	13.75%	12.53%	11.54%
9s 6h	44.49%	28.76%	21.22%	16.64%	13.60%	11.45%	9.91%	8.74%	7.85%
9s 5s	45.72%	30.43%	23.22%	18.91%	16.07%	14.05%	12.56%	11.41%	10.50%
9s 5h	42.71%	26.73%	19.32%	14.92%	12.06%	10.07%	8.64%	7.55%	6.73%
9s 4s	43.87%	28.55%	21.52%	17.43%	14.76%	12.88%	11.51%	10.45%	9.59%
